91	229	5129	1541	1610
994	276	4061	2962	15590
1117	382	392	1164	8609
613	1364	3038	4881	1203
1359	1545	2662	4613	6753
685	1346	855	1151	3564
272	7441	1046	3795	4932
921	1951	4878	1400	4616
2263	1280	3545	7081	3517
691	6372	995	3696	4522
200	662	2483	1887	3547
569	2335	427	1002	11218
640	1891	646	7334	633
2388	1189	729	2022	5457
2561	132	1174	9986	5337
284	2661	5337	276	67
495	866	420	6580	6017
1349	389	7787	4026	3320
961	2054	256	2561	941
440	2161	778	3696	3105
632	371	6945	2037	9274
2334	613	4945	1019	978
687	3302	552	599	407
2014	33	11834	565	18992
110	764	1718	5847	4366
207	715	8400	1106	11351
173	3248	4501	4920	16350
844	183	4175	5081	4180
1172	2365	10113	3730	3165
917	4102	931	11665	18706
2731	858	3527	892	1877
988	3014	459	3931	6419
384	109	6411	143	1807
4326	5400	429	1631	1390
1178	2298	478	4200	3086
675	1827	679	380	16670
3859	4097	2161	22911	1506
153	76	1873	4114	2548
1276	921	2426	4230	6021
470	1285	3644	2852	183
1210	4680	5455	596	2201
2541	3945	99	3943	476
660	3940	6092	2423	10865
1177	3258	9432	542	6318
231	376	4746	1565	5430
1243	318	1214	4888	2113
1442	591	2878	927	26
696	506	5635	11380	616
2122	2232	538	4473	1362
448	2089	223	3068	2787
2626	158	4386	4752	2064
452	1814	84	6021	7670
1191	5076	2620	9837	16817
1584	3810	1093	11214	9563
865	1149	8717	5089	1599
1247	2335	7519	1035	3700
1898	8315	1040	3371	4145
734	4636	1928	424	3351
1379	1295	472	1572	2032
877	48	2971	1889	860
62	572	3897	3620	2064
44	1316	1599	4281	1711
1383	105	1007	784	23
792	128	1738	5086	14569
1253	1097	6574	2742	1590
2227	4255	2067	1419	4471
5213	108	474	903	6695
826	689	5623	1205	1833
1586	878	5543	173	5620
340	4045	5312	703	2615
580	1520	6459	9194	8163
4412	1576	1789	1059	2897
1345	1432	588	13441	1631
22	1676	1888	2279	16284
950	1586	2703	2029	4111
1078	2932	1990	1406	18731
78	800	407	3097	3818
561	256	1845	11813	4993
878	2822	5573	636	4182
33	558	7758	748	2430
668	427	5135	887	3455
909	2065	2072	1218	4516
146	5269	459	9168	7297
477	1686	2549	932	4136
266	882	2012	2506	18394
85	1695	17916	2293	896
122	1799	325	4025	3551
1634	548	1594	3754	3485
307	3539	4312	3422	1297
1078	3067	10203	1489	4855
2615	287	1	5740	1018
377	4222	742	2769	9140
223	627	3155	10207	4737
139	1303	1142	470	837
1653	5377	1016	3190	7312
275	749	391	2664	1895
440	2597	256	9284	7826
2060	1176	1645	701	1342
177	435	3815	5263	27624
3854	849	185	28	3349
