487	1281	1131	190	433
1914	2981	746	267	116
4287	1515	40	217	51
459	1157	1939	50	155
6634	1934	299	236	43
7900	62	1522	792	485
8764	1427	179	363	28
3364	73	52	282	70
1105	112	2108	343	72
1893	4642	1418	53	190
196	131	79	304	44
1217	3583	1313	307	347
3467	3714	1050	336	36
505	890	136	304	34
869	196	137	351	87
2269	1223	261	501	44
1511	2721	646	104	97
4352	2212	971	154	29
283	1927	1194	338	24
1345	2928	451	175	355
4257	2051	2715	341	97
1591	3249	507	509	248
913	3880	678	490	9
1965	379	226	1	219
2262	609	199	499	239
4266	396	1855	554	285
846	708	212	159	2
1306	6802	35	160	604
1529	179	1367	23	26
4957	534	644	430	107
610	2325	1489	537	393
2997	1953	3860	57	24
1249	381	567	74	195
5911	22	267	156	80
939	917	14	892	20
5094	3806	1459	236	72
635	373	104	848	207
165	1205	78	152	93
3659	400	2095	94	26
1799	2056	787	391	298
10096	940	6	114	371
3926	5982	1827	116	1
616	326	234	94	34
9713	1917	852	273	97
622	1010	593	120	202
11938	729	281	228	38
691	3196	660	171	114
4611	6625	633	26	176
568	652	23	202	66
3907	265	319	71	228
3019	1672	255	139	6
807	797	95	279	101
2023	548	157	444	340
1023	3111	586	420	60
3489	2480	676	575	78
119	667	412	606	13
3432	752	1645	781	65
588	269	217	158	86
3576	102	32	95	352
15	2521	2469	1201	36
93	5608	320	1105	423
1210	394	268	651	104
5909	2286	561	113	128
1515	895	105	308	56
7985	1378	727	1061	89
6404	656	540	215	6
5128	466	313	283	158
411	1271	196	68	65
5470	5011	3748	182	97
1446	400	876	217	69
363	4392	50	228	81
2005	533	1821	220	86
1166	1509	385	168	103
5445	1267	498	175	63
1921	245	457	940	26
2711	184	989	35	5
84	1218	123	769	490
4599	4379	900	261	30
2587	3776	99	35	201
8084	2915	349	1	28
3559	883	607	48	60
2701	1072	426	560	132
677	62	446	2	137
3800	8764	381	15	5
1045	41	162	8	98
1257	268	974	347	75
4785	80	828	118	271
1910	12	328	5	76
627	2592	1687	1177	103
265	96	655	16	446
1947	1051	175	463	43
1693	968	1277	255	99
1267	1558	448	512	46
1451	68	84	28	7
730	5028	80	640	13
945	2790	76	106	15
3298	774	510	484	13
7434	1853	1049	1131	3
2538	257	2494	179	85
2720	1866	113	446	19
