mass,value,walk_type,metric,dc_scaling,source,upper,lower,predicted_value
10.0,487.0,CRW,IFCT,Half,Raw,,,
10.0,1914.0,CRW,IFCT,Half,Raw,,,
10.0,4287.0,CRW,IFCT,Half,Raw,,,
10.0,459.0,CRW,IFCT,Half,Raw,,,
10.0,6634.0,CRW,IFCT,Half,Raw,,,
10.0,7900.0,CRW,IFCT,Half,Raw,,,
10.0,8764.0,CRW,IFCT,Half,Raw,,,
10.0,3364.0,CRW,IFCT,Half,Raw,,,
10.0,1105.0,CRW,IFCT,Half,Raw,,,
10.0,1893.0,CRW,IFCT,Half,Raw,,,
10.0,196.0,CRW,IFCT,Half,Raw,,,
10.0,1217.0,CRW,IFCT,Half,Raw,,,
10.0,3467.0,CRW,IFCT,Half,Raw,,,
10.0,505.0,CRW,IFCT,Half,Raw,,,
10.0,869.0,CRW,IFCT,Half,Raw,,,
10.0,2269.0,CRW,IFCT,Half,Raw,,,
10.0,1511.0,CRW,IFCT,Half,Raw,,,
10.0,4352.0,CRW,IFCT,Half,Raw,,,
10.0,283.0,CRW,IFCT,Half,Raw,,,
10.0,1345.0,CRW,IFCT,Half,Raw,,,
10.0,4257.0,CRW,IFCT,Half,Raw,,,
10.0,1591.0,CRW,IFCT,Half,Raw,,,
10.0,913.0,CRW,IFCT,Half,Raw,,,
10.0,1965.0,CRW,IFCT,Half,Raw,,,
10.0,2262.0,CRW,IFCT,Half,Raw,,,
10.0,4266.0,CRW,IFCT,Half,Raw,,,
10.0,846.0,CRW,IFCT,Half,Raw,,,
10.0,1306.0,CRW,IFCT,Half,Raw,,,
10.0,1529.0,CRW,IFCT,Half,Raw,,,
10.0,4957.0,CRW,IFCT,Half,Raw,,,
10.0,610.0,CRW,IFCT,Half,Raw,,,
10.0,2997.0,CRW,IFCT,Half,Raw,,,
10.0,1249.0,CRW,IFCT,Half,Raw,,,
10.0,5911.0,CRW,IFCT,Half,Raw,,,
10.0,939.0,CRW,IFCT,Half,Raw,,,
10.0,5094.0,CRW,IFCT,Half,Raw,,,
10.0,635.0,CRW,IFCT,Half,Raw,,,
10.0,165.0,CRW,IFCT,Half,Raw,,,
10.0,3659.0,CRW,IFCT,Half,Raw,,,
10.0,1799.0,CRW,IFCT,Half,Raw,,,
10.0,10096.0,CRW,IFCT,Half,Raw,,,
10.0,3926.0,CRW,IFCT,Half,Raw,,,
10.0,616.0,CRW,IFCT,Half,Raw,,,
10.0,9713.0,CRW,IFCT,Half,Raw,,,
10.0,622.0,CRW,IFCT,Half,Raw,,,
10.0,11938.0,CRW,IFCT,Half,Raw,,,
10.0,691.0,CRW,IFCT,Half,Raw,,,
10.0,4611.0,CRW,IFCT,Half,Raw,,,
10.0,568.0,CRW,IFCT,Half,Raw,,,
10.0,3907.0,CRW,IFCT,Half,Raw,,,
10.0,3019.0,CRW,IFCT,Half,Raw,,,
10.0,807.0,CRW,IFCT,Half,Raw,,,
10.0,2023.0,CRW,IFCT,Half,Raw,,,
10.0,1023.0,CRW,IFCT,Half,Raw,,,
10.0,3489.0,CRW,IFCT,Half,Raw,,,
10.0,119.0,CRW,IFCT,Half,Raw,,,
10.0,3432.0,CRW,IFCT,Half,Raw,,,
10.0,588.0,CRW,IFCT,Half,Raw,,,
10.0,3576.0,CRW,IFCT,Half,Raw,,,
10.0,15.0,CRW,IFCT,Half,Raw,,,
10.0,93.0,CRW,IFCT,Half,Raw,,,
10.0,1210.0,CRW,IFCT,Half,Raw,,,
10.0,5909.0,CRW,IFCT,Half,Raw,,,
10.0,1515.0,CRW,IFCT,Half,Raw,,,
10.0,7985.0,CRW,IFCT,Half,Raw,,,
10.0,6404.0,CRW,IFCT,Half,Raw,,,
10.0,5128.0,CRW,IFCT,Half,Raw,,,
10.0,411.0,CRW,IFCT,Half,Raw,,,
10.0,5470.0,CRW,IFCT,Half,Raw,,,
10.0,1446.0,CRW,IFCT,Half,Raw,,,
10.0,363.0,CRW,IFCT,Half,Raw,,,
10.0,2005.0,CRW,IFCT,Half,Raw,,,
10.0,1166.0,CRW,IFCT,Half,Raw,,,
10.0,5445.0,CRW,IFCT,Half,Raw,,,
10.0,1921.0,CRW,IFCT,Half,Raw,,,
10.0,2711.0,CRW,IFCT,Half,Raw,,,
10.0,84.0,CRW,IFCT,Half,Raw,,,
10.0,4599.0,CRW,IFCT,Half,Raw,,,
10.0,2587.0,CRW,IFCT,Half,Raw,,,
10.0,8084.0,CRW,IFCT,Half,Raw,,,
10.0,3559.0,CRW,IFCT,Half,Raw,,,
10.0,2701.0,CRW,IFCT,Half,Raw,,,
10.0,677.0,CRW,IFCT,Half,Raw,,,
10.0,3800.0,CRW,IFCT,Half,Raw,,,
10.0,1045.0,CRW,IFCT,Half,Raw,,,
10.0,1257.0,CRW,IFCT,Half,Raw,,,
10.0,4785.0,CRW,IFCT,Half,Raw,,,
10.0,1910.0,CRW,IFCT,Half,Raw,,,
10.0,627.0,CRW,IFCT,Half,Raw,,,
10.0,265.0,CRW,IFCT,Half,Raw,,,
10.0,1947.0,CRW,IFCT,Half,Raw,,,
